Date,PM10,SO2,CO,O3,Max,Critical Component,Category,Indeks,Baik/Buruk
5/28/2020,13,1,18,0,18,CO,Good,1,Baik
5/29/2020,10,1,24,10,24,CO,Good,1,Baik
5/30/2020,17,1,28,8,28,CO,Good,1,Baik
5/31/2020,10,1,20,0,20,CO,Good,1,Baik
6/1/2020,14,1,30,0,30,CO,Good,1,Baik
6/2/2020,29,1,52,10,52,CO,Moderate,2,Baik
6/3/2020,40,1,46,12,46,CO,Good,1,Baik
6/4/2020,34,1,36,9,36,CO,Good,1,Baik
6/5/2020,16,1,23,0,23,CO,Good,1,Baik
6/6/2020,17,1,30,6,30,CO,Good,1,Baik
6/7/2020,12,1,14,0,14,CO,Good,1,Baik
6/8/2020,11,1,21,0,21,CO,Good,1,Baik
6/9/2020,17,1,23,7,23,CO,Good,1,Baik
6/10/2020,17,1,36,6,36,CO,Good,1,Baik
6/11/2020,21,2,23,8,23,CO,Good,1,Baik
6/12/2020,18,2,22,0,22,CO,Good,1,Baik
6/13/2020,20,1,25,8,25,CO,Good,1,Baik
6/14/2020,18,1,40,7,40,CO,Good,1,Baik
6/15/2020,22,1,35,12,35,CO,Good,1,Baik
6/16/2020,25,1,50,12,50,CO,Good,1,Baik
6/17/2020,23,1,25,15,25,CO,Good,1,Baik
6/18/2020,24,1,20,0,24,PM10,Good,1,Baik
6/19/2020,18,1,24,5,24,CO,Good,1,Baik
6/20/2020,18,1,20,10,20,CO,Good,1,Baik
6/21/2020,19,1,22,3,22,CO,Good,1,Baik
6/22/2020,19,1,23,0,23,CO,Good,1,Baik
6/23/2020,17,1,26,0,26,CO,Good,1,Baik
6/24/2020,9,1,17,8,17,CO,Good,1,Baik
6/25/2020,23,1,40,13,40,CO,Good,1,Baik
6/26/2020,18,1,24,7,24,CO,Good,1,Baik
6/27/2020,23,1,28,7,28,CO,Good,1,Baik
6/28/2020,25,1,28,9,28,CO,Good,1,Baik
6/29/2020,26,1,24,11,26,PM10,Good,1,Baik
6/30/2020,18,1,30,9,30,CO,Good,1,Baik
7/1/2020,14,1,21,6,21,CO,Good,1,Baik
7/2/2020,21,1,33,6,33,CO,Good,1,Baik
7/3/2020,21,1,27,10,27,CO,Good,1,Baik
7/4/2020,19,1,23,11,23,CO,Good,1,Baik
7/5/2020,35,1,56,15,56,CO,Moderate,2,Baik
7/6/2020,25,1,26,10,26,CO,Good,1,Baik
7/7/2020,20,0,28,10,28,CO,Good,1,Baik
7/8/2020,20,1,36,10,36,CO,Good,1,Baik
7/9/2020,31,1,17,6,31,PM10,Good,1,Baik
7/10/2020,14,1,16,11,16,CO,Good,1,Baik
7/11/2020,19,1,25,3,25,CO,Good,1,Baik
7/12/2020,19,1,21,10,21,CO,Good,1,Baik
7/13/2020,24,1,28,15,28,CO,Good,1,Baik
7/14/2020,21,1,25,11,25,CO,Good,1,Baik
7/15/2020,26,1,33,11,33,CO,Good,1,Baik
7/16/2020,23,1,24,12,24,CO,Good,1,Baik
7/17/2020,35,1,33,20,35,PM10,Good,1,Baik
7/18/2020,17,0,12,11,17,PM10,Good,1,Baik
7/19/2020,21,1,30,7,30,CO,Good,1,Baik
7/20/2020,10,0,15,4,15,CO,Good,1,Baik
7/21/2020,16,1,21,11,21,CO,Good,1,Baik
7/22/2020,21,1,30,36,36,O3,Good,1,Baik
7/23/2020,22,0,32,23,32,CO,Good,1,Baik
7/24/2020,18,0,57,22,57,CO,Moderate,2,Baik
7/25/2020,14,2,46,0,46,CO,Good,1,Baik
7/26/2020,25,1,21,8,25,PM10,Good,1,Baik
7/27/2020,28,1,21,12,28,PM10,Good,1,Baik
7/28/2020,19,1,10,7,19,PM10,Good,1,Baik
7/29/2020,13,1,5,11,13,PM10,Good,1,Baik
7/30/2020,18,1,19,7,19,CO,Good,1,Baik
7/31/2020,18,1,7,7,18,PM10,Good,1,Baik
8/1/2020,20,1,0,0,20,PM10,Good,1,Baik
8/2/2020,22,1,2,0,22,PM10,Good,1,Baik
